/home/karkar/fromXPS/LSST/dataTestCCD/20140731/0x0002014073100076.fits
CHAN_0	 -54651.29    8763.41  -57633.52    8724.10  -55726.43     791.66
CHAN_1	  -3169.83   26270.16    6441.55   27744.66   27323.25   47426.94
CHAN_2	 -53400.30     357.93  -55151.20     646.95  -55004.64     174.87
CHAN_3	 -54876.05     262.84  -56546.19     612.26  -56527.13     115.21
CHAN_4	 -48551.81     259.96  -50155.96     615.24  -50150.88     130.67
CHAN_5	 -53009.15    6756.01  -54998.39    2316.38  -54634.82    6649.49
CHAN_6	 -53443.27     192.31  -55055.79     548.47  -55075.90     115.00
CHAN_7	 -68621.26     112.89  -68597.17     147.55  -68625.06     113.19
CHAN_8	 -90551.37      56.06  -90548.20      55.66  -90546.44      52.38
CHAN_9	 -90485.65      56.17  -90475.86      55.04  -90473.41      51.82
CHAN_10	 -89859.70      57.66  -89842.65      54.97  -89839.65      51.88
CHAN_11	 -56475.23    2950.35  -59494.39     844.79  -59393.44     199.34
CHAN_12	 -54537.80     331.47  -56691.90     596.68  -56678.28     160.40
CHAN_13	 -53136.32     230.45  -54923.73     584.48  -54916.67     161.84
CHAN_14	 -54391.97     208.27  -56070.57     572.82  -56081.41     150.81
CHAN_15	 -59387.12     961.80  -61322.81     549.71  -61317.59     161.97
